
> analyze-token-calls
> ts-node scripts/analyze-token-calls.ts

project,file,lineNumber,line
aave-forks,subgraphs/aave-forks/protocols/aave-amm/src/mapping.ts,463,"const aTokenContract = AToken.bind(Address.fromBytes(market.outputToken!));"
aave-forks,subgraphs/aave-forks/protocols/aave-amm/src/mapping.ts,512,"const stakedTokenContract = StakedAave.bind(tryRewardAsset.value);"
aave-forks,subgraphs/aave-forks/protocols/aave-arc/src/mapping.ts,463,"const aTokenContract = AToken.bind(Address.fromBytes(market.outputToken!));"
aave-forks,subgraphs/aave-forks/protocols/aave-arc/src/mapping.ts,512,"const stakedTokenContract = StakedAave.bind(tryRewardAsset.value);"
aave-forks,subgraphs/aave-forks/protocols/aave-rwa/src/mapping.ts,461,"const aTokenContract = AToken.bind(Address.fromBytes(market.outputToken!));"
aave-forks,subgraphs/aave-forks/protocols/aave-rwa/src/mapping.ts,510,"const stakedTokenContract = StakedAave.bind(tryRewardAsset.value);"
aave-forks,subgraphs/aave-forks/protocols/aave-v2/src/mapping.ts,496,"const aTokenContract = AToken.bind(Address.fromBytes(market.outputToken!));"
aave-forks,subgraphs/aave-forks/protocols/aave-v2/src/mapping.ts,547,"const stakedTokenContract = StakedAave.bind(tryRewardAsset.value);"
aave-forks,subgraphs/aave-forks/protocols/geist-finance/src/mapping.ts,203,"const gTokenContract = GToken.bind(Address.fromBytes(market.outputToken!));"
aave-forks,subgraphs/aave-forks/protocols/geist-finance/src/mapping.ts,437,"const gTokenContract = GToken.bind(Address.fromString(GFTM_ADDRESS));"
aave-forks,subgraphs/aave-forks/protocols/geist-finance/src/mapping.ts,469,"const gTokenContract = GToken.bind(Address.fromString(GFTM_ADDRESS));"
aave-forks,subgraphs/aave-forks/protocols/geist-finance/src/mapping.ts,496,"const gTokenContract = GToken.bind(Address.fromBytes(market.outputToken!));"
aave-forks,subgraphs/aave-forks/protocols/radiant-capital/src/mapping.ts,178,"const rTokenContract = RToken.bind(Address.fromBytes(market.outputToken!));"
aave-forks,subgraphs/aave-forks/protocols/radiant-capital/src/rewards.ts,147,"const rToken = RToken.bind(Address.fromString(RWETH_ADDRESS));"
aave-forks,subgraphs/aave-forks/protocols/radiant-capital-v2/src/mapping.ts,181,"const rTokenContract = RToken.bind(Address.fromBytes(market.outputToken!));"
aave-forks,subgraphs/aave-forks/protocols/radiant-capital-v2/src/rewards.ts,128,"const rdntAddress = ERC20.bind("
aave-forks,subgraphs/aave-forks/protocols/radiant-capital-v2/src/rewards.ts,131,"const wethAddress = ERC20.bind("
aave-forks,subgraphs/aave-forks/protocols/radiant-capital-v2/src/rewards.ts,160,"const rToken = RToken.bind(Address.fromString(rewardConfig.rTokenMarket));"
aave-forks,subgraphs/aave-forks/protocols/seismic/src/mapping.ts,499,"const aTokenContract = AToken.bind(Address.fromBytes(market.outputToken!));"
aave-forks,subgraphs/aave-forks/protocols/seismic/src/mapping.ts,550,"const stakedTokenContract = StakedAave.bind(tryRewardAsset.value);"
aave-forks,subgraphs/aave-forks/protocols/uwu-lend/src/mapping.ts,410,"const aTokenContract = AToken.bind(Address.fromBytes(market.outputToken!));"
aave-forks,subgraphs/aave-forks/src/helpers.ts,104,"const vTokenContract = AToken.bind(Address.fromBytes(market._vToken!));"
aave-forks,subgraphs/aave-forks/src/helpers.ts,113,"const sTokenContract = AToken.bind(Address.fromBytes(market._sToken!));"
aave-forks,subgraphs/aave-forks/src/helpers.ts,125,"const aTokenContract = AToken.bind(Address.fromBytes(market.outputToken!));"
aave-forks,subgraphs/aave-forks/src/helpers.ts,145,"const aTokenContract = AToken.bind(Address.fromBytes(market.outputToken!));"
aave-forks,subgraphs/aave-forks/src/helpers.ts,157,"const stableDebtTokenContract = StableDebtToken.bind("
aave-forks,subgraphs/aave-forks/src/helpers.ts,171,"const variableDebtTokenContract = VariableDebtToken.bind("
aave-forks,subgraphs/aave-forks/src/helpers.ts,191,"const aTokenContract = AToken.bind(Address.fromBytes(market.outputToken!));"
aave-forks,subgraphs/aave-forks/src/mapping.ts,491,"const stableDebtContract = StableDebtToken.bind("
aave-forks,subgraphs/aave-forks/src/mapping.ts,497,"const variableDebtContract = VariableDebtToken.bind("
aave-forks,subgraphs/aave-forks/src/mapping.ts,522,"const aTokenContract = AToken.bind(Address.fromBytes(market.outputToken!));"
aave-forks,subgraphs/aave-forks/src/mapping.ts,1222,"const tokenContract = ERC20.bind(asset);"
aave-forks,subgraphs/aave-forks/src/sdk/token.ts,114,"const contract = ERC20.bind(tokenAddress);"
aave-forks,subgraphs/aave-forks/src/sdk/token.ts,115,"const contractSymbolBytes = ERC20SymbolBytes.bind(tokenAddress);"
aave-forks,subgraphs/aave-forks/src/sdk/token.ts,144,"const contract = ERC20.bind(tokenAddress);"
aave-forks,subgraphs/aave-forks/src/sdk/token.ts,145,"const contractNameBytes = ERC20NameBytes.bind(tokenAddress);"
aave-forks,subgraphs/aave-forks/src/sdk/token.ts,174,"const contract = ERC20.bind(tokenAddress);"
abracadabra,subgraphs/abracadabra/src/common/tokens.ts,11,"let contract = ERC20.bind(tokenAddress);"
abracadabra,subgraphs/abracadabra/src/common/tokens.ts,12,"let contractSymbolBytes = ERC20SymbolBytes.bind(tokenAddress);"
abracadabra,subgraphs/abracadabra/src/common/tokens.ts,40,"let contract = ERC20.bind(tokenAddress);"
abracadabra,subgraphs/abracadabra/src/common/tokens.ts,41,"let contractNameBytes = ERC20NameBytes.bind(tokenAddress);"
abracadabra,subgraphs/abracadabra/src/common/tokens.ts,69,"let contract = ERC20.bind(tokenAddress);"
across-v2,subgraphs/across-v2/src/handlers/liquidity.ts,61,"const erc20 = _ERC20.bind(outputTokenAddress);"
across-v2,subgraphs/across-v2/src/handlers/liquidity.ts,144,"const erc20 = _ERC20.bind(outputTokenAddress);"
across-v2,subgraphs/across-v2/src/prices/common/utils.ts,34,"const tokenContract = _ERC20.bind(tokenAddr);"
across-v2,subgraphs/across-v2/src/prices/common/utils.ts,41,"const tokenContract = _ERC20.bind(tokenAddr);"
across-v2,subgraphs/across-v2/src/prices/common/utils.ts,52,"const tokenContract = _ERC20.bind(tokenAddr);"
across-v2,subgraphs/across-v2/src/prices/routers/CurveRouter.ts,301,"const poolContract = CurvePoolContract.bind(tokenAddress);"
across-v2,subgraphs/across-v2/src/prices/routers/UniswapForksRouter.ts,12,"const lpToken = UniswapRouterContract.bind(tokenAddress);"
across-v2,subgraphs/across-v2/src/prices/routers/UniswapForksRouter.ts,120,"const uniSwapPair = UniswapPairContract.bind(tokenAddress);"
across-v2,subgraphs/across-v2/src/prices/routers/UniswapForksRouter.ts,163,"const uniSwapPair = UniswapPairContract.bind(tokenAddress);"
across-v2,subgraphs/across-v2/src/util.ts,63,"const tokenContract = _ERC20.bind(tokenAddress);"
across-v2,subgraphs/across-v2/src/util.ts,73,"const tokenContract = _ERC20.bind(tokenAddress);"
across-v2,subgraphs/across-v2/src/util.ts,83,"const tokenContract = _ERC20.bind(tokenAddress);"
across-v2,subgraphs/across-v2/src/util.ts,99,"const erc20 = _ERC20.bind(tokenAddress);"
affine-restaking,subgraphs/affine-restaking/src/mappings/handlers.ts,79,"const erc20 = _ERC20.bind(address);"
alpaca-finance-lending,subgraphs/alpaca-finance-lending/src/entities/token.ts,15,"const contract = IERC20Detailed.bind(tokenAddress);"
alpaca-finance-lending,subgraphs/alpaca-finance-lending/src/entities/token.ts,46,"const contractNameBytes = IERC20DetailedBytes.bind(contract._address);"
alpaca-finance-lending,subgraphs/alpaca-finance-lending/src/entities/token.ts,58,"const contractSymbolBytes = IERC20DetailedBytes.bind(contract._address);"
alpaca-finance-lending,subgraphs/alpaca-finance-lending/src/prices/common/utils.ts,31,"const tokenContract = _ERC20.bind(tokenAddr);"
alpaca-finance-lending,subgraphs/alpaca-finance-lending/src/prices/common/utils.ts,38,"const tokenContract = _ERC20.bind(tokenAddr);"
alpaca-finance-lending,subgraphs/alpaca-finance-lending/src/prices/common/utils.ts,49,"const tokenContract = _ERC20.bind(tokenAddr);"
alpaca-finance-lending,subgraphs/alpaca-finance-lending/src/prices/routers/CurveRouter.ts,255,"const poolContract = CurvePoolContract.bind(tokenAddress);"
alpaca-finance-lending,subgraphs/alpaca-finance-lending/src/prices/routers/UniswapForksRouter.ts,11,"const lpToken = UniswapRouterContract.bind(tokenAddress);"
alpaca-finance-lending,subgraphs/alpaca-finance-lending/src/prices/routers/UniswapForksRouter.ts,109,"const uniSwapPair = UniswapPairContract.bind(tokenAddress);"
alpaca-finance-lending,subgraphs/alpaca-finance-lending/src/prices/routers/UniswapForksRouter.ts,148,"const uniSwapPair = UniswapPairContract.bind(tokenAddress);"
amphor,subgraphs/amphor/src/common/utils.ts,37,"const contract = ERC20.bind(address);"
amphor,subgraphs/amphor/src/common/utils.ts,81,"const contract = ERC20.bind(Address.fromBytes(pool.getBytesID()));"
amphor,subgraphs/amphor/src/prices/common/utils.ts,49,"const tokenContract = _ERC20.bind(tokenAddr);"
amphor,subgraphs/amphor/src/prices/common/utils.ts,56,"const tokenContract = _ERC20.bind(tokenAddr);"
amphor,subgraphs/amphor/src/prices/common/utils.ts,67,"const tokenContract = _ERC20.bind(tokenAddr);"
amphor,subgraphs/amphor/src/prices/routers/CurveRouter.ts,304,"const poolContract = CurvePoolContract.bind(tokenAddress);"
amphor,subgraphs/amphor/src/prices/routers/UniswapForksRouter.ts,12,"const lpToken = UniswapRouterContract.bind(tokenAddress);"
amphor,subgraphs/amphor/src/prices/routers/UniswapForksRouter.ts,142,"const uniSwapPair = UniswapPairContract.bind(tokenAddress);"
amphor,subgraphs/amphor/src/prices/routers/UniswapForksRouter.ts,185,"const uniSwapPair = UniswapPairContract.bind(tokenAddress);"
anzen-v2,subgraphs/anzen-v2/src/mappings/handlers.ts,113,"const erc20 = _ERC20.bind(address);"
anzen-v2,subgraphs/anzen-v2/src/prices/common/utils.ts,56,"const tokenContract = _ERC20.bind(tokenAddr);"
anzen-v2,subgraphs/anzen-v2/src/prices/common/utils.ts,63,"const tokenContract = _ERC20.bind(tokenAddr);"
anzen-v2,subgraphs/anzen-v2/src/prices/common/utils.ts,74,"const tokenContract = _ERC20.bind(tokenAddr);"
anzen-v2,subgraphs/anzen-v2/src/prices/routers/CurveRouter.ts,304,"const poolContract = CurvePoolContract.bind(tokenAddress);"
anzen-v2,subgraphs/anzen-v2/src/prices/routers/UniswapForksRouter.ts,12,"const lpToken = UniswapRouterContract.bind(tokenAddress);"
anzen-v2,subgraphs/anzen-v2/src/prices/routers/UniswapForksRouter.ts,142,"const uniSwapPair = UniswapPairContract.bind(tokenAddress);"
anzen-v2,subgraphs/anzen-v2/src/prices/routers/UniswapForksRouter.ts,185,"const uniSwapPair = UniswapPairContract.bind(tokenAddress);"
aqua-patina,subgraphs/aqua-patina/src/mappings/handlers.ts,64,"const erc20 = _ERC20.bind(address);"
arbitrum-one-bridge,subgraphs/arbitrum-one-bridge/src/common/utils.ts,79,"const tokenContract = _ERC20.bind(tokenAddress);"
arbitrum-one-bridge,subgraphs/arbitrum-one-bridge/src/common/utils.ts,89,"const tokenContract = _ERC20.bind(tokenAddress);"
arbitrum-one-bridge,subgraphs/arbitrum-one-bridge/src/common/utils.ts,99,"const tokenContract = _ERC20.bind(tokenAddress);"
arbitrum-one-bridge,subgraphs/arbitrum-one-bridge/src/handlers/arbitrum/transfers.ts,56,"const gatewayContract = TokenGateway.bind(event.address);"
arbitrum-one-bridge,subgraphs/arbitrum-one-bridge/src/handlers/arbitrum/transfers.ts,107,"const erc20 = _ERC20.bind(inputTokenAddress!);"
arbitrum-one-bridge,subgraphs/arbitrum-one-bridge/src/handlers/arbitrum/transfers.ts,169,"const gatewayContract = TokenGateway.bind(event.address);"
arbitrum-one-bridge,subgraphs/arbitrum-one-bridge/src/handlers/arbitrum/transfers.ts,220,"const erc20 = _ERC20.bind(inputTokenAddress!);"
arbitrum-one-bridge,subgraphs/arbitrum-one-bridge/src/handlers/ethereum/transfers.ts,74,"const gatewayContract = TokenGateway.bind(event.address);"
arbitrum-one-bridge,subgraphs/arbitrum-one-bridge/src/handlers/ethereum/transfers.ts,121,"const erc20 = _ERC20.bind(inputTokenAddress);"
arbitrum-one-bridge,subgraphs/arbitrum-one-bridge/src/handlers/ethereum/transfers.ts,186,"const gatewayContract = TokenGateway.bind(event.address);"
arbitrum-one-bridge,subgraphs/arbitrum-one-bridge/src/handlers/ethereum/transfers.ts,233,"const erc20 = _ERC20.bind(inputTokenAddress);"
arbitrum-one-bridge,subgraphs/arbitrum-one-bridge/src/prices/common/utils.ts,49,"const tokenContract = _ERC20.bind(tokenAddr);"
arbitrum-one-bridge,subgraphs/arbitrum-one-bridge/src/prices/common/utils.ts,56,"const tokenContract = _ERC20.bind(tokenAddr);"
arbitrum-one-bridge,subgraphs/arbitrum-one-bridge/src/prices/common/utils.ts,67,"const tokenContract = _ERC20.bind(tokenAddr);"
arbitrum-one-bridge,subgraphs/arbitrum-one-bridge/src/prices/routers/CurveRouter.ts,304,"const poolContract = CurvePoolContract.bind(tokenAddress);"
arbitrum-one-bridge,subgraphs/arbitrum-one-bridge/src/prices/routers/UniswapForksRouter.ts,13,"const lpToken = UniswapRouterContract.bind(tokenAddress);"
arbitrum-one-bridge,subgraphs/arbitrum-one-bridge/src/prices/routers/UniswapForksRouter.ts,143,"const uniSwapPair = UniswapPairContract.bind(tokenAddress);"
arbitrum-one-bridge,subgraphs/arbitrum-one-bridge/src/prices/routers/UniswapForksRouter.ts,186,"const uniSwapPair = UniswapPairContract.bind(tokenAddress);"
arrakis-finance,subgraphs/arrakis-finance/src/common/tokens.ts,11,"let contract = ERC20.bind(tokenAddress);"
arrakis-finance,subgraphs/arrakis-finance/src/common/tokens.ts,12,"let contractSymbolBytes = ERC20SymbolBytes.bind(tokenAddress);"
arrakis-finance,subgraphs/arrakis-finance/src/common/tokens.ts,40,"let contract = ERC20.bind(tokenAddress);"
arrakis-finance,subgraphs/arrakis-finance/src/common/tokens.ts,41,"let contractNameBytes = ERC20NameBytes.bind(tokenAddress);"
arrakis-finance,subgraphs/arrakis-finance/src/common/tokens.ts,69,"let contract = ERC20.bind(tokenAddress);"
arrakis-finance,subgraphs/arrakis-finance/src/prices/common/utils.ts,13,"const token = _ERC20.bind(tokenAddr);"
arrakis-finance,subgraphs/arrakis-finance/src/prices/routers/SushiSwapRouter.ts,20,"const lpToken = SushiSwapPairContract.bind(tokenAddress);"
arrakis-finance,subgraphs/arrakis-finance/src/prices/routers/SushiSwapRouter.ts,133,"const sushiswapPair = SushiSwapPairContract.bind(tokenAddress);"
arrakis-finance,subgraphs/arrakis-finance/src/prices/routers/SushiSwapRouter.ts,167,"const sushiSwapPair = SushiSwapPairContract.bind(tokenAddress);"
arrakis-finance,subgraphs/arrakis-finance/src/prices/routers/UniswapRouter.ts,19,"const lpToken = UniswapRouterContract.bind(tokenAddress);"
arrakis-finance,subgraphs/arrakis-finance/src/prices/routers/UniswapRouter.ts,138,"const uniSwapPair = UniswapPairContract.bind(tokenAddress);"
arrakis-finance,subgraphs/arrakis-finance/src/prices/routers/UniswapRouter.ts,175,"const uniSwapPair = UniswapPairContract.bind(tokenAddress);"
aspida,subgraphs/aspida/src/mappings/handlers.ts,61,"const erc20 = _ERC20.bind(address);"
aura-finance,subgraphs/aura-finance/src/common/pools.ts,66,"const poolContract = WeightedPool.bind(tokenAddress);"
aura-finance,subgraphs/aura-finance/src/common/rewards.ts,290,"const rewardTokenContract = AuraToken.bind(rewardTokenAddr);"
aura-finance,subgraphs/aura-finance/src/common/tokens.ts,12,"let contract = ERC20.bind(tokenAddress);"
aura-finance,subgraphs/aura-finance/src/common/tokens.ts,13,"let contractSymbolBytes = ERC20SymbolBytes.bind(tokenAddress);"
aura-finance,subgraphs/aura-finance/src/common/tokens.ts,43,"let contract = ERC20.bind(tokenAddress);"
aura-finance,subgraphs/aura-finance/src/common/tokens.ts,44,"let contractNameBytes = ERC20NameBytes.bind(tokenAddress);"
aura-finance,subgraphs/aura-finance/src/common/tokens.ts,74,"let contract = ERC20.bind(tokenAddress);"
aura-finance,subgraphs/aura-finance/src/mappings/helpers.ts,110,"const outputTokenContract = ERC20.bind("
aura-finance,subgraphs/aura-finance/src/mappings/helpers.ts,173,"const outputTokenContract = ERC20.bind("
aura-finance,subgraphs/aura-finance/src/prices/common/utils.ts,13,"const token = _ERC20.bind(tokenAddr);"
aura-finance,subgraphs/aura-finance/src/prices/routers/SushiSwapRouter.ts,20,"const lpToken = SushiSwapPairContract.bind(tokenAddress);"
aura-finance,subgraphs/aura-finance/src/prices/routers/SushiSwapRouter.ts,133,"const sushiswapPair = SushiSwapPairContract.bind(tokenAddress);"
aura-finance,subgraphs/aura-finance/src/prices/routers/SushiSwapRouter.ts,167,"const sushiSwapPair = SushiSwapPairContract.bind(tokenAddress);"
aura-finance,subgraphs/aura-finance/src/prices/routers/UniswapRouter.ts,19,"const lpToken = UniswapRouterContract.bind(tokenAddress);"
aura-finance,subgraphs/aura-finance/src/prices/routers/UniswapRouter.ts,141,"const uniSwapPair = UniswapPairContract.bind(tokenAddress);"
aura-finance,subgraphs/aura-finance/src/prices/routers/UniswapRouter.ts,178,"const uniSwapPair = UniswapPairContract.bind(tokenAddress);"
aurus,subgraphs/aurus/src/mappings/handlers.ts,87,"const erc20 = _ERC20.bind(address);"
axelar,subgraphs/axelar/src/mappings.ts,85,"const erc20 = _ERC20.bind(address);"
axelar,subgraphs/axelar/src/mappings.ts,93,"const erc20name = ERC20NameBytes.bind(address);"
axelar,subgraphs/axelar/src/mappings.ts,109,"const erc20symbol = ERC20SymbolBytes.bind(address);"
axelar,subgraphs/axelar/src/mappings.ts,769,"const internalERC20Contract = BurnableMintableCappedERC20.bind(tokenAddress);"
axelar,subgraphs/axelar/src/prices/common/utils.ts,31,"const tokenContract = _ERC20.bind(tokenAddr);"
axelar,subgraphs/axelar/src/prices/common/utils.ts,38,"const tokenContract = _ERC20.bind(tokenAddr);"
axelar,subgraphs/axelar/src/prices/common/utils.ts,49,"const tokenContract = _ERC20.bind(tokenAddr);"
axelar,subgraphs/axelar/src/prices/routers/CurveRouter.ts,255,"const poolContract = CurvePoolContract.bind(tokenAddress);"
axelar,subgraphs/axelar/src/prices/routers/UniswapForksRouter.ts,11,"const lpToken = UniswapRouterContract.bind(tokenAddress);"
axelar,subgraphs/axelar/src/prices/routers/UniswapForksRouter.ts,109,"const uniSwapPair = UniswapPairContract.bind(tokenAddress);"
axelar,subgraphs/axelar/src/prices/routers/UniswapForksRouter.ts,148,"const uniSwapPair = UniswapPairContract.bind(tokenAddress);"
badgerdao,subgraphs/badgerdao/src/common/initializers.ts,84,"const contract = ERC20Contract.bind(address);"
badgerdao,subgraphs/badgerdao/src/common/utils.ts,42,"const token = ERC20.bind(tokenAddr);"
badgerdao,subgraphs/badgerdao/src/mappings/rewardsLoggerMappings.ts,39,"const diggContract = DiggTokenContract.bind(constants.DIGG_TOKEN_ADDRESS);"
badgerdao,subgraphs/badgerdao/src/prices/common/utils.ts,47,"const tokenContract = _ERC20.bind(tokenAddr);"
badgerdao,subgraphs/badgerdao/src/prices/common/utils.ts,54,"const tokenContract = _ERC20.bind(tokenAddr);"
badgerdao,subgraphs/badgerdao/src/prices/common/utils.ts,65,"const tokenContract = _ERC20.bind(tokenAddr);"
badgerdao,subgraphs/badgerdao/src/prices/oracles/AaveOracle.ts,9,"const aaveContract = AaveOracleContract.bind(tokenAddr);"
badgerdao,subgraphs/badgerdao/src/prices/routers/CurveRouter.ts,302,"const poolContract = CurvePoolContract.bind(tokenAddress);"
badgerdao,subgraphs/badgerdao/src/prices/routers/UniswapForksRouter.ts,11,"const lpToken = UniswapRouterContract.bind(tokenAddress);"
badgerdao,subgraphs/badgerdao/src/prices/routers/UniswapForksRouter.ts,122,"const uniSwapPair = UniswapPairContract.bind(tokenAddress);"
badgerdao,subgraphs/badgerdao/src/prices/routers/UniswapForksRouter.ts,165,"const uniSwapPair = UniswapPairContract.bind(tokenAddress);"
balancer-forks,subgraphs/balancer-forks/src/common/initializers.ts,135,"const contract = ERC20Contract.bind(address);"
balancer-forks,subgraphs/balancer-forks/src/common/utils.ts,45,"const token = ERC20Contract.bind(tokenAddr);"
balancer-forks,subgraphs/balancer-forks/src/prices/common/utils.ts,29,"const token = _ERC20.bind(tokenAddr);"
balancer-forks,subgraphs/balancer-forks/src/prices/routers/UniswapForksRouter.ts,11,"const lpToken = UniswapRouterContract.bind(tokenAddress);"
balancer-forks,subgraphs/balancer-forks/src/prices/routers/UniswapForksRouter.ts,112,"const uniSwapPair = UniswapPairContract.bind(tokenAddress);"
balancer-forks,subgraphs/balancer-forks/src/prices/routers/UniswapForksRouter.ts,146,"const uniSwapPair = UniswapPairContract.bind(tokenAddress);"
bancor-v3,subgraphs/bancor-v3/src/mapping.ts,112,"const poolTokenContract = PoolToken.bind(poolTokenAddress);"
bancor-v3,subgraphs/bancor-v3/src/mapping.ts,156,"const tokenContract = ERC20.bind(Address.fromString(reserveTokenID));"
bedrock-unieth,subgraphs/bedrock-unieth/src/common/initializers.ts,69,"const tokenContract = ERC20.bind("
bedrock-unieth,subgraphs/bedrock-unieth/src/common/initializers.ts,94,"const contract = ERC20.bind(Address.fromBytes(pool.getBytesID()));"
bedrock-unieth,subgraphs/bedrock-unieth/src/common/utils.ts,34,"const contract = ERC20.bind(address);"
