
> find-contract-calls
> ts-node scripts/find-contract-calls.ts

project,file,lineNumber,line
aave-forks,subgraphs/aave-forks/protocols/aave-amm/src/mapping.ts,412,"const oracle = IPriceOracleGetter.bind(priceOracle);"
aave-forks,subgraphs/aave-forks/protocols/aave-amm/src/mapping.ts,422,"const fallbackOracle = IPriceOracleGetter.bind(tryFallback.value);"
aave-forks,subgraphs/aave-forks/protocols/aave-amm/src/mapping.ts,463,"const aTokenContract = AToken.bind(Address.fromBytes(market.outputToken!));"
aave-forks,subgraphs/aave-forks/protocols/aave-amm/src/mapping.ts,472,"const incentiveControllerContract = AaveIncentivesController.bind("
aave-forks,subgraphs/aave-forks/protocols/aave-amm/src/mapping.ts,512,"const stakedTokenContract = StakedAave.bind(tryRewardAsset.value);"
aave-forks,subgraphs/aave-forks/protocols/aave-arc/src/mapping.ts,412,"const oracle = IPriceOracleGetter.bind(priceOracle);"
aave-forks,subgraphs/aave-forks/protocols/aave-arc/src/mapping.ts,422,"const fallbackOracle = IPriceOracleGetter.bind(tryFallback.value);"
aave-forks,subgraphs/aave-forks/protocols/aave-arc/src/mapping.ts,463,"const aTokenContract = AToken.bind(Address.fromBytes(market.outputToken!));"
aave-forks,subgraphs/aave-forks/protocols/aave-arc/src/mapping.ts,472,"const incentiveControllerContract = AaveIncentivesController.bind("
aave-forks,subgraphs/aave-forks/protocols/aave-arc/src/mapping.ts,512,"const stakedTokenContract = StakedAave.bind(tryRewardAsset.value);"
aave-forks,subgraphs/aave-forks/protocols/aave-rwa/src/mapping.ts,410,"const oracle = IPriceOracleGetter.bind(priceOracle);"
aave-forks,subgraphs/aave-forks/protocols/aave-rwa/src/mapping.ts,420,"const fallbackOracle = IPriceOracleGetter.bind(tryFallback.value);"
aave-forks,subgraphs/aave-forks/protocols/aave-rwa/src/mapping.ts,461,"const aTokenContract = AToken.bind(Address.fromBytes(market.outputToken!));"
aave-forks,subgraphs/aave-forks/protocols/aave-rwa/src/mapping.ts,470,"const incentiveControllerContract = AaveIncentivesController.bind("
