
> find-dynamic-contracts
> ts-node scripts/find-dynamic-contracts.ts

project,file,lineNumber,line
aave-forks,subgraphs/aave-forks/protocols/aave-amm/config/templates/aave.amm.template.yaml,143,"templates:"
aave-forks,subgraphs/aave-forks/protocols/aave-arc/config/templates/aave.arc.template.yaml,143,"templates:"
aave-forks,subgraphs/aave-forks/protocols/aave-rwa/config/templates/aave.rwa.template.yaml,143,"templates:"
aave-forks,subgraphs/aave-forks/protocols/aave-v2/config/templates/aave.v2.template.yaml,143,"templates:"
aave-forks,subgraphs/aave-forks/protocols/aave-v3/config/templates/aave.v3.template.yaml,173,"templates:"
aave-forks,subgraphs/aave-forks/protocols/geist-finance/config/templates/geist.finance.template.yaml,146,"templates:"
aave-forks,subgraphs/aave-forks/protocols/kinza-finance/config/templates/kinza.finance.template.yaml,172,"templates:"
aave-forks,subgraphs/aave-forks/protocols/pac-finance/config/templates/pac.finance.template.yaml,179,"templates:"
aave-forks,subgraphs/aave-forks/protocols/radiant-capital/config/templates/radiant.capital.template.yaml,146,"templates:"
aave-forks,subgraphs/aave-forks/protocols/radiant-capital-v2/config/templates/radiant.capital.v2.template.yaml,144,"templates:"
aave-forks,subgraphs/aave-forks/protocols/seamless-protocol/config/templates/seamless-protocol.template.yaml,172,"templates:"
aave-forks,subgraphs/aave-forks/protocols/seismic/config/templates/seismic.template.yaml,143,"templates:"
aave-forks,subgraphs/aave-forks/protocols/spark-lend/config/templates/spark.lend.template.yaml,179,"templates:"
aave-forks,subgraphs/aave-forks/protocols/superlend/config/templates/superlend.template.yaml,141,"templates:"
aave-forks,subgraphs/aave-forks/protocols/uwu-lend/config/templates/uwu.lend.template.yaml,143,"templates:"
aave-forks,subgraphs/aave-forks/protocols/zerolend/config/templates/zerolend.template.yaml,179,"templates:"
abracadabra,subgraphs/abracadabra/protocols/abracadabra/config/templates/abracadabra.money.template.yaml,143,"templates:"
arrakis-finance,subgraphs/arrakis-finance/protocols/arrakis-finance/config/templates/arrakis.finance.template.yaml,79,"templates:"
aura-finance,subgraphs/aura-finance/protocols/aura-finance/config/templates/aura-finance.template.yaml,116,"templates:"
badgerdao,subgraphs/badgerdao/protocols/badgerdao/config/templates/badgerdao.template.yaml,176,"templates:"
balancer-forks,subgraphs/balancer-forks/protocols/balancer-v2/config/templates/balancer.v2.template.yaml,188,"templates:"
balancer-forks,subgraphs/balancer-forks/protocols/beethoven-x/config/templates/beethoven.x.fantom.template.yaml,172,"templates:"
balancer-forks,subgraphs/balancer-forks/protocols/beethoven-x/config/templates/beethoven.x.optimism.template.yaml,113,"templates:"
bancor-v3,subgraphs/bancor-v3/protocols/bancor-v3/config/templates/bancor.v3.template.yaml,139,"templates:"
belt-finance,subgraphs/belt-finance/protocols/belt-finance/config/templates/belt.finance.template.yaml,146,"templates:"
