protocol,networks,callHandlers,ipfs,blockHandlers,dynamicContracts,contractCalls
"  - aave-amm-ethereum",1,false,false,false,false,false
"  - aave-arc-ethereum",1,false,false,false,false,false
"  - aave-governance-ethereum",1,false,false,false,false,false
"  - aave-rwa-ethereum",1,false,false,false,false,false
"  - aave-v2-avalanche",1,false,false,false,false,false
"  - aave-v2-ethereum",1,false,false,false,false,false
"  - aave-v2-polygon",1,false,false,false,false,false
"  - aave-v3-arbitrum",1,false,false,false,false,false
"  - aave-v3-avalanche",1,false,false,false,false,false
"  - aave-v3-base",1,false,false,false,false,false
"  - aave-v3-bsc",1,false,false,false,false,false
"  - aave-v3-ethereum",1,false,false,false,false,false
"  - aave-v3-fantom",1,false,false,false,false,false
"  - aave-v3-gnosis",1,false,false,false,false,false
"  - aave-v3-harmony",1,false,false,false,false,false
"  - aave-v3-metis",1,false,false,false,false,false
"  - aave-v3-optimism",1,false,false,false,false,false
"  - aave-v3-polygon",1,false,false,false,false,false
"  - aave-v3-scroll",1,false,false,false,false,false
"  - abracadabra-arbitrum",1,false,false,false,false,false
"  - abracadabra-avalanche",1,false,false,false,false,false
"  - abracadabra-bsc",1,false,false,false,false,false
"  - abracadabra-ethereum",1,false,false,false,false,false
"  - abracadabra-fantom",1,false,false,false,false,false
"  - across-v2-arbitrum",1,false,false,false,false,false
"  - across-v2-boba",1,false,false,false,false,false
"  - across-v2-ethereum",1,false,false,false,false,false
"  - across-v2-optimism",1,false,false,false,false,false
"  - across-v2-polygon",1,false,false,false,false,false
"  - affine-restaking-ethereum",1,false,false,false,false,false
"  - affine-restaking-linea",1,false,false,false,false,false
"  - alpaca-finance-lending-bsc",1,false,false,false,false,false
"  - alpaca-finance-lending-fantom",1,false,false,false,false,false
"  - amphor-ethereum",1,false,false,false,false,false
"  - ampleforth-governance-ethereum",1,false,false,false,false,false
"  - angle-governance-ethereum",1,false,false,false,false,false
"  - anzen-v2-arbitrum",1,false,false,false,false,false
"  - anzen-v2-base",1,false,false,false,false,false
"  - anzen-v2-blast",1,false,false,false,false,false
"  - anzen-v2-ethereum",1,false,false,false,false,false
"  - apeswap-bsc",1,false,false,false,false,false
"  - apeswap-polygon",1,false,false,false,false,false
"  - aqua-patina-ethereum",1,false,false,false,false,false
"  - arbitrum-one-bridge-arbitrum",1,false,false,false,false,false
"  - arbitrum-one-bridge-ethereum",1,false,false,false,false,false
"  - arrakis-finance-ethereum",1,false,false,false,false,false
"  - arrakis-finance-optimism",1,false,false,false,false,false
"  - arrakis-finance-polygon",1,false,false,false,false,false
"  - arweave-mainnet",1,false,false,false,false,false
"  - aspida-ethereum",1,false,false,false,false,false
"  - aura-finance-ethereum",1,false,false,false,false,false
"  - aurigami-aurora",1,false,false,false,false,false
"  - aurus-ethereum",1,false,false,false,false,false
"  - axelar-arbitrum",1,false,false,false,false,false
"  - axelar-avalanche",1,false,false,false,false,false
"  - axelar-bsc",1,false,false,false,false,false
"  - axelar-celo",1,false,false,false,false,false
"  - axelar-ethereum",1,false,false,false,false,false
"  - axelar-fantom",1,false,false,false,false,false
"  - axelar-moonbeam",1,false,false,false,false,false
"  - axelar-polygon",1,false,false,false,false,false
